target_class,start_frame,end_frame,update_id,donor_count,x,y,error_dx,error_dy,center_error,iou,valid,boundary
medium_launcher,16,17,medium_launcher:17,9,3765.5,100.5,-10.0,14.0,17.204650534085253,0.37204022056438535,0,0
medium_launcher,17,18,medium_launcher:18,9,3777.5,154.5,-10.0,14.0,17.204650534085253,0.37349397590361444,0,0
medium_launcher,18,19,medium_launcher:19,8,3790.0,209.5,-12.25,12.25,17.324116139070416,0.3738819320214669,0,0
medium_launcher,19,20,medium_launcher:20,8,3803.0,265.0,-14.25,12.75,19.121323175972943,0.34069562247395685,0,1
medium_launcher,20,21,medium_launcher:21,9,3815.0,321.0,-10.0,10.5,14.5,0.4142050189832392,0,1
medium_launcher,21,22,medium_launcher:22,9,3821.5,378.0,-10.0,8.0,12.806248474865697,0.36633663366336633,0,1
medium_launcher,22,23,medium_launcher:23,8,3828.0,436.0,-10.75,9.75,14.512925273699992,0.13733114002293006,0,1
medium_plane,20,21,medium_plane:21,9,637.5,16.0,7.0,22.5,23.56374333589636,0.23595505617977527,0,1
medium_plane,21,22,medium_plane:22,9,629.5,61.0,7.5,12.5,14.577379737113251,0.4726477024070022,0,0
medium_plane,22,23,medium_plane:23,8,621.0,114.5,9.75,14.75,17.681204710086924,0.40576021004434626,0,0
medium_plane,23,24,medium_plane:24,7,612.0,168.5,7.0,16.5,17.92344832893492,0.40953350728695986,0,0
mine_roller,0,1,mine_roller:1,10,2005.5,2040.0,-1.0,-19.25,19.275956526201234,0.4996463098325867,0,0
small_launcher,0,1,small_launcher:1,10,1798.0,236.0,2.0,8.25,8.488963423174823,0.4842300556586271,0,0
small_launcher,1,2,small_launcher:2,9,1797.0,290.0,1.5,8.0,8.139410298049853,0.5147783251231527,1,0
small_launcher,2,3,small_launcher:3,9,1796.5,345.0,2.0,7.0,7.280109889280518,0.5309842041312273,1,0
small_launcher,3,4,small_launcher:4,10,1795.5,401.0,2.5,7.0,7.433034373659253,0.5137370753323486,1,0
small_launcher,4,5,small_launcher:5,10,1794.5,457.5,2.25,6.75,7.115124735378854,0.5328696432577967,1,0
small_launcher,5,6,small_launcher:6,10,1793.5,515.0,2.75,6.75,7.2886898685566255,0.507740632712587,1,0
small_launcher,6,7,small_launcher:7,11,1792.5,573.0,2.5,7.0,7.433034373659253,0.5123094958968347,1,0
small_launcher,7,8,small_launcher:8,11,1792.0,631.0,2.5,5.0,5.5901699437494745,0.5828220858895705,1,0
small_launcher,8,9,small_launcher:9,10,1791.5,691.0,3.75,2.5,4.5069390943299865,0.60381861575179,1,0
small_launcher,9,10,small_launcher:10,10,1790.5,751.0,3.5,1.0,3.640054944640259,0.6744186046511628,1,0
small_launcher,10,11,small_launcher:11,9,1789.5,813.0,3.5,3.0,4.6097722286464435,0.6,1,0
small_launcher,11,12,small_launcher:12,9,1788.5,875.0,2.5,3.0,3.905124837953327,0.6602316602316602,1,0
small_launcher,12,13,small_launcher:13,8,1788.0,938.0,3.75,3.0,4.802343178074636,0.5956482320942883,1,0
small_launcher,13,14,small_launcher:14,8,1787.0,1001.0,3.75,2.0,4.25,0.6316440049443758,1,0
small_launcher,14,15,small_launcher:15,9,1786.0,1066.0,4.0,0.5,4.031128874149275,0.6785825303077402,1,0
small_launcher,15,16,small_launcher:16,9,1784.5,1132.0,4.5,1.5,4.743416490252569,0.6174016686531585,1,0
