model,horizon,origin_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M3_ORACLE_REFRESHED_SHARED,1,<4,5,5,1.0,0,0.0,0.22753649401666162,0.22807017543859648,10.0,0.7142857142857143,0.4,0.2
M3_ORACLE_REFRESHED_SHARED,1,>32,9,9,1.0,9,1.0,0.7842628805091046,0.7921283560528055,15.20896117425513,0.09415931104154747,1.3333333333333333,7.444444444444445
M3_ORACLE_REFRESHED_SHARED,2,16-32,59,59,1.0,54,0.9152542372881356,0.6330400979269852,0.6377390902183608,21.646304534492717,0.21236858409959175,3.694915254237288,2.6440677966101696
M3_ORACLE_REFRESHED_SHARED,2,4-<8,40,40,1.0,0,0.0,0.25875980963156253,0.2601755387469673,15.134495274033934,0.6964947070435452,0.45,0.475
M3_ORACLE_REFRESHED_SHARED,2,8-<16,101,101,1.0,12,0.1188118811881188,0.3225892758936313,0.3172240319986805,23.2768661980087,0.47121775724149156,1.4653465346534653,2.198019801980198
M3_ORACLE_REFRESHED_SHARED,2,<4,4,4,1.0,0,0.0,0.002562225475841874,0.0,20.619851693879724,1.4728465495628373,0.75,0.5
M3_ORACLE_REFRESHED_SHARED,2,>32,8,8,1.0,7,0.875,0.61873128827273,0.6279153264537121,30.751017923083033,0.18034981402105382,2.875,26.125
M3_ORACLE_REFRESHED_SHARED,3,16-32,55,55,1.0,31,0.5636363636363636,0.5132652054753801,0.519138551403406,31.730308854469097,0.31703549584022483,5.2727272727272725,3.309090909090909
M3_ORACLE_REFRESHED_SHARED,3,4-<8,39,39,1.0,0,0.0,0.1189481892579542,0.1092884061183773,22.80350850198276,1.03947047394967,0.6410256410256411,0.46153846153846156
M3_ORACLE_REFRESHED_SHARED,3,8-<16,93,93,1.0,2,0.021505376344086023,0.18284543159406194,0.16583796431705178,34.77157603560701,0.6952157938367052,2.086021505376344,2.6451612903225805
M3_ORACLE_REFRESHED_SHARED,3,<4,3,3,1.0,0,0.0,0.0,0.0,31.21097563358121,2.229355402398658,1.0,1.0
M3_ORACLE_REFRESHED_SHARED,3,>32,7,7,1.0,3,0.42857142857142855,0.4988404115353981,0.49829450193675207,44.05181608061125,0.2707206026090268,4.285714285714286,30.0
M3_ORACLE_REFRESHED_SHARED,4,16-32,51,51,1.0,8,0.1568627450980392,0.41940662222366726,0.43383775173512346,41.615051363659276,0.4198288341693553,6.647058823529412,3.6666666666666665
M3_ORACLE_REFRESHED_SHARED,4,4-<8,38,38,1.0,0,0.0,0.0479790041040765,0.01367013387650189,30.071874534497315,1.404879894400652,0.8421052631578947,0.631578947368421
M3_ORACLE_REFRESHED_SHARED,4,8-<16,85,85,1.0,0,0.0,0.09919994147174231,0.07887867051135491,46.24189118104925,0.8883993877880727,2.541176470588235,3.070588235294118
M3_ORACLE_REFRESHED_SHARED,4,<4,2,2,1.0,0,0.0,0.0,0.0,41.355553490028626,2.953968106430616,1.5,1.0
M3_ORACLE_REFRESHED_SHARED,4,>32,6,6,1.0,0,0.0,0.39872288424644325,0.3971634073807734,59.03877488279251,0.3593726725566505,5.666666666666667,34.666666666666664
M3_ORACLE_REFRESHED_SHARED,5,16-32,48,48,1.0,0,0.0,0.3386074442053859,0.34301582469580066,51.32829502796149,0.5281609911933102,7.791666666666667,4.270833333333333
M3_ORACLE_REFRESHED_SHARED,5,4-<8,37,37,1.0,0,0.0,0.01768353291806949,0.0,37.16517186829626,1.7697700889664887,1.0,0.7027027027027027
M3_ORACLE_REFRESHED_SHARED,5,8-<16,77,77,1.0,0,0.0,0.05110955874484969,0.018464315999671747,58.32934510175817,1.0888963400315144,3.0,2.6363636363636362
M3_ORACLE_REFRESHED_SHARED,5,<4,1,1,1.0,0,0.0,0.0,0.0,51.4404996087713,3.6743214006265212,2.0,1.0
M3_ORACLE_REFRESHED_SHARED,5,>32,5,5,1.0,0,0.0,0.31564113145539063,0.31438299397441927,74.02068967525229,0.45714508928026476,7.2,40.6
M3_ORACLE_REFRESHED_SHARED,6,16-32,45,45,1.0,0,0.0,0.2699056926904104,0.2776226515218517,60.530983801686226,0.6316094282241784,8.666666666666666,4.933333333333334
M3_ORACLE_REFRESHED_SHARED,6,4-<8,36,36,1.0,0,0.0,0.004334494732724124,0.0,48.14985405581071,2.4762589950453133,1.2222222222222223,0.8333333333333334
M3_ORACLE_REFRESHED_SHARED,6,8-<16,70,70,1.0,0,0.0,0.026038546268932025,0.0,69.04815112573226,1.2798881261859782,3.5285714285714285,3.0
M3_ORACLE_REFRESHED_SHARED,6,>32,4,4,1.0,0,0.0,0.2500413947989468,0.24432216096851192,81.75609250323885,0.5709769170698146,8.5,48.5
M3_ORACLE_REFRESHED_SHARED,7,16-32,42,42,1.0,0,0.0,0.20937802137810338,0.2131893004626205,68.880856838701,0.7368375772097927,9.571428571428571,5.595238095238095
M3_ORACLE_REFRESHED_SHARED,7,4-<8,34,34,1.0,0,0.0,0.001137501370904121,0.0,55.11139353724526,2.893431276821042,1.411764705882353,0.9411764705882353
M3_ORACLE_REFRESHED_SHARED,7,8-<16,63,63,1.0,0,0.0,0.013609013390818835,0.0,80.5640273323026,1.4648367206300297,3.9365079365079363,3.3968253968253967
