model,horizon,any_boundary,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M1_INDEPENDENT_CV,15,1,11,11,1.0,0,0.0,0.003601973916223686,0.0,116.07109890063073,2.337295475224336,22.181818181818183,181.27272727272728
M1_INDEPENDENT_CV,16,0,39,39,1.0,0,0.0,0.0,0.0,115.97629068046624,2.67434554890577,7.666666666666667,7.153846153846154
M1_INDEPENDENT_CV,16,1,11,11,1.0,0,0.0,0.0,0.0,132.02367211981343,2.750031478036916,26.90909090909091,191.36363636363637
M1_INDEPENDENT_CV,17,0,30,30,1.0,0,0.0,0.0,0.0,128.90545105831802,3.0758968758883833,7.333333333333333,7.866666666666666
M1_INDEPENDENT_CV,17,1,11,11,1.0,0,0.0,0.0,0.0,141.84674828842572,3.2042918327743632,24.272727272727273,201.8181818181818
M1_INDEPENDENT_CV,18,0,23,23,1.0,0,0.0,0.0,0.0,143.9487756113264,6.000157527862768,7.043478260869565,9.217391304347826
M1_INDEPENDENT_CV,18,1,9,9,1.0,0,0.0,0.0,0.0,158.63322476707077,1.669823418600745,27.0,167.66666666666666
M1_INDEPENDENT_CV,19,0,17,17,1.0,0,0.0,0.0,0.0,161.0007763956435,6.717532009220055,8.294117647058824,9.647058823529411
M1_INDEPENDENT_CV,19,1,8,8,1.0,0,0.0,0.0,0.0,177.23992125399914,1.7899792966142711,29.375,194.0
M1_INDEPENDENT_CV,20,0,12,12,1.0,0,0.0,0.0,0.0,176.7556566277752,7.569368102490191,8.333333333333334,10.083333333333334
M1_INDEPENDENT_CV,20,1,7,7,1.0,0,0.0,0.0,0.0,197.03108891745993,2.074011462289052,33.285714285714285,230.71428571428572
M1_INDEPENDENT_CV,21,0,8,8,1.0,0,0.0,0.0,0.0,194.42068351667757,8.461713438411374,9.125,9.125
M1_INDEPENDENT_CV,21,1,5,5,1.0,0,0.0,0.0,0.0,207.61803871532936,2.2950325738942046,34.8,142.8
M1_INDEPENDENT_CV,22,0,5,5,1.0,0,0.0,0.0,0.0,215.2637916603719,9.36979218932189,12.0,7.8
M1_INDEPENDENT_CV,22,1,3,3,1.0,0,0.0,0.0,0.0,229.02674516309224,2.4108078438220235,50.333333333333336,225.0
M1_INDEPENDENT_CV,23,0,2,2,1.0,0,0.0,0.0,0.0,236.92129344725714,13.403572833205043,5.5,3.0
M1_INDEPENDENT_CV,23,1,2,2,1.0,0,0.0,0.0,0.0,408.8602591097137,6.813952875415103,38.0,345.0
