model,horizon,origin_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
S_FIXED,1,<4,5,5,1.0,1,0.2,0.3981059049531548,0.35218692122293693,6.269983368791887,6.576596271561179,0.46975687654008424,0.4,0.2
S_FIXED,1,>32,9,9,1.0,9,1.0,0.9326168756184953,0.9396431498991051,6.827117248044864,4.574607185725968,0.026889561734332382,1.3333333333333366,7.444444444444441
S_FIXED,2,16-32,59,59,1.0,59,1.0,0.8479256672841315,0.8427393906403091,8.234080288805753,7.029054562933901,0.08309265208904901,3.6949152542372876,2.644067796610169
S_FIXED,2,4-<8,40,40,1.0,35,0.875,0.6745701677492482,0.6699462360965674,4.20740040799287,3.9985059725334304,0.2148057014960762,0.45,0.47500000000000286
S_FIXED,2,8-<16,101,101,1.0,94,0.9306930693069307,0.6873647498023676,0.685210654410106,8.155516819283532,7.600398301472261,0.14742832328776947,1.465346534653465,2.1980198019802013
S_FIXED,2,<4,4,4,1.0,0,0.0,0.07441391959539576,0.02520198794988321,13.12698791598781,14.16339873549299,1.0116713382494993,0.75,0.5
S_FIXED,2,>32,8,8,1.0,8,1.0,0.8628712669908318,0.8866203497211281,15.880497252784409,9.712424043871106,0.05628120560400094,2.875,26.125
S_FIXED,3,16-32,55,55,1.0,55,1.0,0.788270920932099,0.7768850986100503,11.67141488634329,10.231570791457953,0.12100728379239528,5.2727272727272725,3.3090909090909095
S_FIXED,3,4-<8,39,39,1.0,26,0.6666666666666666,0.5606184134961706,0.580891307766217,6.279895316884309,5.955350983059118,0.31770317747369314,0.6410256410256411,0.46153846153846445
S_FIXED,3,8-<16,93,93,1.0,64,0.6881720430107527,0.5884106946490458,0.5750249652654246,11.565745813480401,11.218268815093543,0.2163445773093205,2.086021505376344,2.6451612903225805
S_FIXED,3,<4,3,3,1.0,0,0.0,0.0,0.0,20.23045603746091,21.186066095871354,1.5132904354193824,1.0,1.0
S_FIXED,3,>32,7,7,1.0,7,1.0,0.8078130240342114,0.8358281510399288,18.457450318425135,13.307547104129533,0.08561772743889418,4.285714285714286,30.0
S_FIXED,4,16-32,51,51,1.0,51,1.0,0.7365835635990834,0.7182222054887698,14.764456836743463,13.620335083464438,0.159082525242197,6.647058823529412,3.666666666666668
S_FIXED,4,4-<8,38,38,1.0,18,0.47368421052631576,0.4697158729509462,0.4872029491317025,8.351859827177424,8.101244413842142,0.41062704506055336,0.8421052631578947,0.631578947368424
S_FIXED,4,8-<16,85,85,1.0,40,0.47058823529411764,0.5128662103107704,0.4805437595166267,14.75829798051881,14.839675073534092,0.28670100483369343,2.5411764705882356,3.0705882352941236
S_FIXED,4,<4,2,2,1.0,0,0.0,0.0,0.0,26.37259493880226,26.37259493880226,1.8837567813430187,1.5,1.0
S_FIXED,4,>32,6,6,1.0,6,1.0,0.758791252278579,0.7805245427941733,20.70572050450636,18.372799646502415,0.10648214041623971,5.666666666666667,34.666666666666664
S_FIXED,5,16-32,48,48,1.0,45,0.9375,0.6858579012152433,0.6596370707058028,18.02562220176743,16.979114458410578,0.20110151043647767,7.791666666666667,4.270833333333336
S_FIXED,5,4-<8,37,37,1.0,11,0.2972972972972973,0.39691843504288105,0.41179581217154604,10.436320922548486,9.68917367766242,0.5257426321042955,1.0,0.7027027027027057
S_FIXED,5,8-<16,77,77,1.0,29,0.37662337662337664,0.4539128001929978,0.4200850965849729,17.167635481166762,18.131187986707847,0.34187681045211693,3.0,2.6363636363636402
S_FIXED,5,<4,1,1,1.0,0,0.0,0.0,0.0,31.584582364640767,31.584582364640767,2.2560415974743404,2.0,1.0
S_FIXED,5,>32,5,5,1.0,5,1.0,0.7128749308933559,0.731258237222028,22.50714220845082,23.484387564162834,0.13496774462162547,7.2,40.6
S_FIXED,6,16-32,45,45,1.0,41,0.9111111111111111,0.6394381868913914,0.6091099319673888,21.08661534291162,20.32793697853295,0.23529372500887463,8.666666666666666,4.933333333333334
S_FIXED,6,4-<8,36,36,1.0,9,0.25,0.3352578956897499,0.33871841291915655,12.603747865927046,11.642821870718407,0.6305886451325857,1.2222222222222223,0.8333333333333334
S_FIXED,6,8-<16,70,70,1.0,21,0.3,0.4031876702339378,0.3705610748019684,20.002516482681457,21.8741789340297,0.3998419814855717,3.5285714285714285,3.0
S_FIXED,6,>32,4,4,1.0,4,1.0,0.6718247884584199,0.6835765996929826,24.09941401810437,28.605133871738666,0.16390991193771245,8.5,48.5
S_FIXED,7,16-32,42,42,1.0,35,0.8333333333333334,0.5962056358832291,0.5655856008957156,24.13933140625656,23.23603166934128,0.256634742136462,9.571428571428571,5.595238095238092
S_FIXED,7,4-<8,34,34,1.0,4,0.11764705882352941,0.2932992544505716,0.3073297314640385,14.082013518422247,12.875855245363681,0.7472777411295839,1.411764705882353,0.9411764705882386
S_FIXED,7,8-<16,63,63,1.0,17,0.2698412698412698,0.360965410539103,0.3393716363086907,22.561195693092657,24.16089708371405,0.4386470501662026,3.9365079365079363,3.3968253968253967
S_FIXED,7,>32,3,3,1.0,3,1.0,0.6344861828609029,0.6370583100490272,24.239526728780238,29.81590830193826,0.1929707403894533,10.0,61.333333333333336
S_FIXED,8,16-32,39,39,1.0,25,0.6410256410256411,0.5558559990648057,0.5340395825836347,27.299929390535947,26.620029741181195,0.28336218357307774,10.35897435897436,6.256410256410252
S_FIXED,8,4-<8,32,32,1.0,3,0.09375,0.257024480644718,0.2728290023592148,15.467854145420716,15.085774922048335,0.8503390930430383,1.65625,1.0312500000000036
