model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
S_SCALE,22,8,8,1.0,0,0.0,0.12890574992552112,0.09864357768826788,59.00011281348661,58.34635372205922,1.207992544624994,18.117430220128796,7.609976451305613
S_SCALE,23,4,4,1.0,0,0.0,0.10873453345695544,0.10716375192196975,61.86436898683805,60.653069992307195,1.273629150083154,19.853753851981025,7.860191862974602
T_FIXED,1,227,227,1.0,175,0.7709251101321586,0.6123509953237649,0.609021199819576,10.988146884256318,10.920164833920778,0.20006249023742556,1.0572687224669604,2.101321585903084
T_FIXED,2,212,212,1.0,73,0.3443396226415094,0.40208195394479523,0.38042203379926787,21.239237589054103,21.66145567747198,0.3913335027595144,1.9339622641509433,2.8679245283018866
T_FIXED,3,197,197,1.0,36,0.18274111675126903,0.2708886989908714,0.2339085182141879,31.12461088125667,31.664254294077416,0.5821022034029862,2.751269035532995,3.3451776649746194
T_FIXED,4,182,182,1.0,8,0.04395604395604396,0.18701797923043237,0.12252699026109412,40.67259241113523,41.932236048447805,0.7621937418783737,3.4285714285714284,3.7472527472527473
T_FIXED,5,168,168,1.0,0,0.0,0.13345886738367546,0.055803002857453765,49.74101123336579,51.91625956449914,0.9602654282789016,4.0476190476190474,3.7976190476190474
T_FIXED,6,155,155,1.0,0,0.0,0.09757846322237139,0.009514271407110666,58.757061454254526,60.530983801686226,1.1506488467795208,4.612903225806452,4.232258064516129
T_FIXED,7,142,142,1.0,0,0.0,0.0724629868708763,0.0,67.3266129685957,69.60520643346162,1.3220627067514368,5.126760563380282,4.683098591549296
T_FIXED,8,129,129,1.0,0,0.0,0.05225197944954937,0.0,75.38736482649645,78.14449756700724,1.487567125928108,5.48062015503876,5.131782945736434
T_FIXED,9,117,117,1.0,0,0.0,0.03562361415581153,0.0,83.46933503332006,86.0559411080955,1.6671588750193442,5.717948717948718,5.358974358974359
T_FIXED,10,106,106,1.0,0,0.0,0.02259445826320641,0.0,91.94877724532257,94.48310436828902,1.830698776831987,6.160377358490566,4.773584905660377
T_FIXED,11,96,96,1.0,0,0.0,0.013476774613759984,0.0,100.18980419823201,102.06106276980549,1.9678918846216038,6.71875,5.25
T_FIXED,12,86,86,1.0,0,0.0,0.006458514412938223,0.0,108.19778504784828,109.63884753414902,2.148798801893312,7.209302325581396,5.511627906976744
T_FIXED,13,77,77,1.0,0,0.0,0.0017035239110920234,0.0,116.47898137162838,118.30178570080842,2.320440736996309,7.675324675324675,5.9480519480519485
T_FIXED,14,68,68,1.0,0,0.0,0.00044169581052771106,0.0,124.48385793021947,125.81111579708454,2.4856131233155994,8.088235294117647,6.397058823529412
T_FIXED,15,59,59,1.0,0,0.0,0.0,0.0,132.13405514384152,133.02560843687203,2.6282642186429337,8.457627118644067,6.813559322033898
T_FIXED,16,50,50,1.0,0,0.0,0.0,0.0,139.27807153891902,141.03513596362467,2.7928522235409847,8.78,7.2
T_FIXED,17,41,41,1.0,0,0.0,0.0,0.0,145.52868688960882,148.4303287741424,3.0093632736875406,8.975609756097562,7.7560975609756095
T_FIXED,18,32,32,1.0,0,0.0,0.0,0.0,151.28377295511865,155.132099482176,3.1198475607143643,9.03125,7.28125
T_FIXED,19,25,25,1.0,0,0.0,0.0,0.0,158.2621226480222,161.17633976486746,3.08274382033369,9.24,6.64
T_FIXED,20,19,19,1.0,0,0.0,0.0,0.0,165.38696958213026,167.69037688549693,3.171846408770727,9.842105263157896,7.368421052631579
T_FIXED,21,13,13,1.0,0,0.0,0.0,0.0,173.10716426232563,174.3554200476716,4.2145230029045795,11.615384615384615,8.153846153846153
T_FIXED,22,8,8,1.0,0,0.0,0.0,0.0,182.10537754240636,205.54008704065046,3.5966860613389633,13.875,5.5
T_FIXED,23,4,4,1.0,0,0.0,0.0,0.0,188.43575177045875,213.8824091816849,3.756413852035827,16.0,6.0
T_RES_CV,1,227,227,1.0,227,1.0,0.9052158242890396,0.9323671497584541,2.5822430262423817,1.4142135623730951,0.028971701781777184,0.8942731277533039,2.6916299559471364
T_RES_CV,2,212,212,1.0,201,0.9481132075471698,0.8219980716315256,0.8657623411370824,5.320976115712219,3.0413812651491097,0.06209579389678557,1.5943396226415094,5.160377358490566
T_RES_CV,3,197,197,1.0,170,0.8629441624365483,0.7237388966576173,0.7748562037797864,8.605956172419747,5.533985905294664,0.11228361294222662,2.568527918781726,6.98984771573604
