model,horizon,target_class,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
CV,12,jet_plane,9,9,1.0,0,0.0,0.14195901340315922,0.15309672929714682,92.39265322838581,62.09871174187111,0.7666507622453222,6.444444444444445,68.22222222222223
CV,12,large_launcher,12,12,1.0,0,0.0,0.1972271764254769,0.19823441644562334,73.72927192565211,73.33551625985343,0.6489868695562251,21.416666666666668,8.166666666666666
CV,12,large_tower,6,6,1.0,0,0.0,0.006718467934911529,0.0,107.02860139533767,65.75987441104266,1.1051528574476037,8.666666666666666,90.33333333333333
CV,12,small_launcher,12,12,1.0,0,0.0,0.0,0.0,66.9194471016064,63.656186378615246,2.82994460345489,5.166666666666667,2.5
CV,12,small_tower,7,7,1.0,0,0.0,0.0,0.0,75.98143299146126,74.17715281675349,1.405727413072881,8.142857142857142,8.571428571428571
CV,12,spacecraft,10,10,1.0,0,0.0,0.0,0.0,74.27120913001488,72.72009994794782,1.564664529670433,5.6,5.8
CV,12,ta-ta,12,12,1.0,0,0.0,0.0,0.0,69.85705278618494,69.96842813175311,4.561024138666234,4.916666666666667,8.916666666666666
CV,12,tank,12,12,1.0,0,0.0,0.0,0.0,78.27826341999132,64.86578248933466,1.2927239601103524,5.75,35.083333333333336
CV,13,helicopter,5,5,1.0,0,0.0,0.04649316325844942,0.058435127104655,85.59646320900137,89.63955600068532,0.894429877544297,3.4,11.6
CV,13,jet_plane,8,8,1.0,0,0.0,0.07626792429646886,0.07601955856498922,109.35426691902843,72.65586509613675,0.8861764976514364,6.625,82.375
CV,13,large_launcher,11,11,1.0,0,0.0,0.13152761805732074,0.12933634992458523,85.43568350577107,86.5,0.760304202778935,23.272727272727273,9.363636363636363
CV,13,large_tower,5,5,1.0,0,0.0,0.0,0.0,130.0941681733836,75.99506562928939,1.3102597522291273,8.8,115.6
CV,13,small_launcher,11,11,1.0,0,0.0,0.0,0.0,77.88570406988002,74.5,3.316411046692466,5.0,2.909090909090909
CV,13,small_tower,6,6,1.0,0,0.0,0.0,0.0,88.5652460551987,86.71225631255766,1.5952327588302224,9.0,12.166666666666666
CV,13,spacecraft,9,9,1.0,0,0.0,0.0,0.0,85.91680311799867,85.41955279676895,1.8174372935482757,6.333333333333333,6.555555555555555
CV,13,ta-ta,11,11,1.0,0,0.0,0.0,0.0,80.70873095222457,81.80006112467154,5.514526271584895,5.2727272727272725,9.636363636363637
CV,13,tank,11,11,1.0,0,0.0,0.0,0.0,91.50269828613828,75.71327492586752,1.4845740181542653,6.2727272727272725,40.81818181818182
CV,14,helicopter,4,4,1.0,0,0.0,0.0,0.0,96.80353194768206,104.06573378022757,1.0286649422007854,4.25,17.75
CV,14,jet_plane,7,7,1.0,0,0.0,0.021405700469418337,0.00961153384060873,128.62242937377442,84.12044935685971,1.0206355412753296,7.142857142857143,100.85714285714286
CV,14,large_launcher,10,10,1.0,0,0.0,0.06606370070121452,0.06887178892869254,97.85206672858308,98.67030600534116,0.8731018561726278,25.7,8.4
CV,14,large_tower,4,4,1.0,0,0.0,0.0,0.0,161.0503674734369,88.98812521618447,1.509340442006471,11.0,154.25
CV,14,small_launcher,10,10,1.0,0,0.0,0.0,0.0,89.47325569153989,87.00360435673267,3.750410012049955,5.7,3.2
CV,14,small_tower,5,5,1.0,0,0.0,0.0,0.0,101.88061411671734,100.2845950283492,1.7941545247281927,7.4,7.0
CV,14,spacecraft,8,8,1.0,0,0.0,0.0,0.0,99.86019767919582,98.83204036648411,2.1028093694996617,6.5,7.25
CV,14,ta-ta,10,10,1.0,0,0.0,0.0,0.0,92.79259520201748,93.95056211563815,6.127381903216726,6.2,10.8
CV,14,tank,10,10,1.0,0,0.0,0.0,0.0,105.9477226754303,86.75797965539667,1.6843830375579931,6.4,47.8
CV,15,helicopter,3,3,1.0,0,0.0,0.0,0.0,109.49064248522713,119.65053280282541,1.1765114371993255,5.666666666666667,23.333333333333332
CV,15,jet_plane,6,6,1.0,0,0.0,0.0008096619661291411,0.0,152.12631899285375,95.39510681719862,1.1564374790536398,8.0,124.83333333333333
CV,15,large_launcher,9,9,1.0,0,0.0,0.016622789846050194,0.008560894832218958,110.9943662559335,111.01576464628796,0.9902767888941197,26.666666666666668,9.333333333333334
CV,15,large_tower,3,3,1.0,0,0.0,0.0,0.0,204.32254619545884,100.5099497562306,1.7035584704445863,12.0,219.0
