model,horizon,any_boundary,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
S_RES_SCALE,10,0,94,94,1.0,33,0.35106382978723405,0.4264032606218864,0.43698856888475157,21.132308660936907,18.195770039437477,0.3880291900516067,0.7578534241022468,3.747782073827061
S_RES_SCALE,10,1,12,12,1.0,5,0.4166666666666667,0.38752416877471846,0.4642045305295309,71.1838454922623,33.10412889930444,0.4645151271865901,18.333000071352387,17.419265236382007
S_RES_SCALE,11,0,84,84,1.0,28,0.3333333333333333,0.37984711967719464,0.3694472432678795,24.40724742445032,21.38316365882008,0.4549999397749678,0.7477189389977748,4.137907200082
S_RES_SCALE,11,1,12,12,1.0,4,0.3333333333333333,0.3363303405386731,0.3339787883884758,79.32317649814149,31.84313317703556,0.7232597261929561,18.333055565014774,18.101878276067026
S_RES_SCALE,12,0,75,75,1.0,15,0.2,0.33080587494037234,0.3255547900749671,27.729913362751393,23.168029233173776,0.5125625081565905,0.8343619210188353,4.400540721772639
S_RES_SCALE,12,1,11,11,1.0,3,0.2727272727272727,0.3113828995526922,0.26315425640188717,95.21742734865606,40.92856550870708,0.5685698974819379,19.990430707028302,18.29030765352542
S_RES_SCALE,13,0,66,66,1.0,10,0.15151515151515152,0.2808831003068189,0.2691332578358323,31.41730459129849,27.118959428593257,0.5767208027274582,0.861788680839652,4.688148409238009
S_RES_SCALE,13,1,11,11,1.0,2,0.18181818181818182,0.2582268999173601,0.23702116813715907,108.0750858524174,48.88557340132642,0.6555848396336588,20.214447710734888,18.870714690220655
S_RES_SCALE,14,0,57,57,1.0,8,0.14035087719298245,0.24924827076246822,0.23399639650953666,33.820001485658366,28.028916593077714,0.6945739487533792,0.942827136597334,4.960180420651416
S_RES_SCALE,14,1,11,11,1.0,2,0.18181818181818182,0.1997657516994239,0.1255516471600461,123.68264589614023,74.78812704706088,0.8379324204656696,20.101854856879072,19.1949128630338
S_RES_SCALE,15,0,48,48,1.0,4,0.08333333333333333,0.2046855406099727,0.1880779290078779,37.57249143655944,32.33846242054666,0.7845810649562619,1.0175947271709163,5.13493987403745
S_RES_SCALE,15,1,11,11,1.0,1,0.09090909090909091,0.15313845369674706,0.11319813453447919,136.02537574460666,82.40830735017356,0.8942710092658058,20.35265496935457,19.917066903636893
S_RES_SCALE,16,0,39,39,1.0,1,0.02564102564102564,0.16656190818205255,0.1290870508738637,40.01796053769734,35.805375606623095,0.8452090666942632,1.0776963852430532,5.120854273407067
S_RES_SCALE,16,1,11,11,1.0,0,0.0,0.08505880692327837,0.06938990921998636,155.25508734953615,102.22038106078661,0.9535995500546987,20.542125880571533,20.591673842803424
S_RES_SCALE,17,0,30,30,1.0,1,0.03333333333333333,0.1442055388389198,0.09659504146247123,39.346736496822444,32.7803125544165,0.9607495507402418,1.0954196812392183,5.0070871945825655
