model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
T_FIXED,13,86,86,1.0,0,0.0,0.0018265961958347755,0.0,116.99287844487363,117.99722344968627,2.3120096808456028
T_FIXED,14,77,77,1.0,0,0.0,0.00039006902747901754,0.0,125.22163156853411,125.78578019792221,2.4328627531668086
T_FIXED,15,68,68,1.0,0,0.0,0.0,0.0,133.1087403449879,132.6170069970794,2.5868330250147027
T_FIXED,16,59,59,1.0,0,0.0,0.0,0.0,140.73415405238993,140.5384733800677,2.6938099094785497
T_FIXED,17,50,50,1.0,0,0.0,0.0,0.0,147.81818147756567,147.86064116602893,2.9731695523657287
T_FIXED,18,41,41,1.0,0,0.0,0.0,0.0,154.22166877790966,155.18879630952745,3.075438002271737
T_FIXED,19,32,32,1.0,0,0.0,0.0,0.0,159.90546069397516,161.56781624496114,3.2650550051986142
T_FIXED,20,25,25,1.0,0,0.0,0.0,0.0,167.1718303896662,168.2024449881749,3.171846408770727
T_FIXED,21,19,19,1.0,0,0.0,0.0,0.0,174.64032676122733,174.632829101518,3.4663518954569508
T_FIXED,22,13,13,1.0,0,0.0,0.0,0.0,181.34032904021666,180.5915626489787,4.432473296775426
T_FIXED,23,8,8,1.0,0,0.0,0.0,0.0,191.1696426132805,214.3444803979575,3.8048159194224755
T_FIXED,24,4,4,1.0,0,0.0,0.0,0.0,198.29732389415682,226.17296561203977,3.9828823576292067
T_RES_CV,1,243,227,0.934156378600823,227,1.0,0.9052158242890396,0.9323671497584541,2.5822430262423817,1.4142135623730951,0.028971701781777184
T_RES_CV,2,227,212,0.933920704845815,201,0.9481132075471698,0.8219980716315256,0.8657623411370824,5.320976115712219,3.0413812651491097,0.06209579389678557
T_RES_CV,3,212,197,0.9292452830188679,170,0.8629441624365483,0.7237388966576173,0.7748562037797864,8.605956172419747,5.533985905294664,0.11228361294222662
T_RES_CV,4,197,182,0.9238578680203046,135,0.7417582417582418,0.6214715121852532,0.664266675285297,12.087152445544627,9.340770846134703,0.16579130016052912
T_RES_CV,5,182,168,0.9230769230769231,99,0.5892857142857143,0.5336559573577695,0.5845442503889011,16.03088567061873,13.17065479278964,0.2444594292427615
T_RES_CV,6,168,155,0.9226190476190477,78,0.5032258064516129,0.46080586861007594,0.5003762227238525,20.372565278585622,17.240939649566666,0.3245228538094476
T_RES_CV,7,155,142,0.9161290322580645,55,0.3873239436619718,0.39570621012893037,0.40857912483586245,25.273696742515362,21.635445401531094,0.4099543963816781
T_RES_CV,8,142,129,0.9084507042253521,34,0.26356589147286824,0.3398066245721612,0.3320715246301738,30.393628135426727,26.890983619049713,0.5056377041392605
T_RES_CV,9,129,117,0.9069767441860465,21,0.1794871794871795,0.2845301813689252,0.2666284403669725,35.308727531921114,31.544611267219636,0.5464244449698978
T_RES_CV,10,117,106,0.905982905982906,14,0.1320754716981132,0.23211311334693535,0.20030714820919482,41.95153477491967,37.67584546336167,0.6770509303630381
T_RES_CV,11,106,96,0.9056603773584906,4,0.041666666666666664,0.1823152261035005,0.1284769949868214,49.36855220986482,44.212905062989435,0.815008382022679
T_RES_CV,12,96,86,0.8958333333333334,4,0.046511627906976744,0.13912130930792746,0.05656706298332217,57.88303319137898,50.8138851517042,0.9763044485911309
T_RES_CV,13,86,77,0.8953488372093024,1,0.012987012987012988,0.10310242025778014,0.003925061938034128,67.624806004547,59.942680954391754,1.217476899164826
T_RES_CV,14,77,68,0.8831168831168831,0,0.0,0.06849901179684491,0.0,79.6111797663302,68.87214500607757,1.4208692296044356
T_RES_CV,15,68,59,0.8676470588235294,0,0.0,0.03733681706538911,0.0,95.01286693631995,83.25337830983197,1.7074029733764695
