model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_RES_CV,8,129,129,1.0,101,0.7829457364341085,0.6371571396746429,0.6880527292667624,14.959304715553719,7.537989260339352,0.152158830455862
A_RES_CV,9,117,117,1.0,83,0.7094017094017094,0.6082578364901576,0.6434741970854667,16.11074160906904,8.435844681963601,0.1749329705898889
A_RES_CV,10,106,106,1.0,67,0.6320754716981132,0.575915483356033,0.6097407715782239,17.722018209209608,8.429221290098658,0.1987359548486502
A_RES_CV,11,96,96,1.0,56,0.5833333333333334,0.545927836673489,0.5809757019029793,20.281295872596075,9.13446894430967,0.2186224697533437
A_RES_CV,12,86,86,1.0,48,0.5581395348837209,0.5169069918953285,0.5621827404397539,23.45161539182541,11.854401166037995,0.2513713640841345
A_RES_CV,13,77,77,1.0,40,0.5194805194805194,0.4758715864558666,0.5190939718782287,26.70360337208972,11.994462380645274,0.26843568220135433
A_RES_CV,14,68,68,1.0,35,0.5147058823529411,0.4572968750871237,0.5054516725567334,30.41323081930956,12.381248204123068,0.27769689072883064
A_RES_CV,15,59,59,1.0,28,0.4745762711864407,0.43747088468447193,0.44992199082373835,34.77024485102384,14.459960088922172,0.32241147115436
A_RES_CV,16,50,50,1.0,20,0.4,0.4049023897664747,0.44904303353604813,39.54424077576944,13.022863026767379,0.31589837253873243
A_RES_CV,17,41,41,1.0,15,0.36585365853658536,0.3757981478550174,0.4164074828743976,48.708506048234945,15.126000840825652,0.5101424303638142
A_RES_CV,18,32,32,1.0,10,0.3125,0.358326707148644,0.37663339196244217,44.40555328055252,14.474953583788745,0.49568873437511507
A_RES_CV,19,25,25,1.0,7,0.28,0.3111707633334917,0.25460314312680304,56.561777870893046,18.77831434874808,0.6079060346311984
A_RES_CV,20,19,19,1.0,5,0.2631578947368421,0.27410913360125233,0.20222119336050332,72.28184843861534,20.04854294098904,0.8550897289501685
A_RES_CV,21,13,13,1.0,5,0.38461538461538464,0.30427137866338,0.16432528230972887,53.52805907652409,17.051916547505822,0.7104965228127426
A_RES_CV,22,8,8,1.0,3,0.375,0.2950619063555296,0.22595723609803833,75.55378660147953,16.857482338327166,0.6396131010878984
A_RES_CV,23,4,4,1.0,1,0.25,0.1825957886290909,0.0,149.6420037451533,78.75162897729311,4.7923154405337325
CV,1,227,227,1.0,227,1.0,0.932738004631093,0.9534492428491307,2.062231097950492,1.118033988749895,0.021922235073527353
CV,2,212,212,1.0,207,0.9764150943396226,0.8461916406650816,0.8762755102040816,4.84632976884784,3.0413812651491097,0.05636087530152925
CV,3,197,197,1.0,179,0.9086294416243654,0.7398396856033261,0.7732609658839167,8.292501840949111,5.70087712549569,0.11206896551724138
CV,4,182,182,1.0,146,0.8021978021978022,0.63030461246646,0.6639107584465793,12.065094933381001,9.420385423067351,0.19113583475782056
CV,5,168,168,1.0,104,0.6190476190476191,0.5180127350037861,0.5573903910901288,16.599001520516552,13.779423451842657,0.27413160420919047
CV,6,155,155,1.0,58,0.3741935483870968,0.4139294501964255,0.4447555459832005,22.38476231478573,19.235384061671343,0.3853663620436631
CV,7,142,142,1.0,42,0.29577464788732394,0.3204240015050518,0.3269714256163005,29.164686766572192,25.5049014897137,0.5044115271165763
CV,8,129,129,1.0,12,0.09302325581395349,0.23891738166155546,0.21475837176659315,36.938215991807624,32.65348373451139,0.6314324164562065
CV,9,117,117,1.0,0,0.0,0.16949576096491617,0.11766835626357712,44.992146546067865,40.792156108742276,0.7861861007534003
CV,10,106,106,1.0,0,0.0,0.1144260735658172,0.034871836426005456,54.99740535290871,50.039984012787215,0.9760012666838567
CV,11,96,96,1.0,0,0.0,0.0776420876042588,0.0,65.80863509536316,59.96456113478469,1.1613290247008992
CV,12,86,86,1.0,0,0.0,0.05192220446381646,0.0,77.35352733124503,69.45254772755592,1.340501515484517
CV,13,77,77,1.0,0,0.0,0.029732636484344502,0.0,90.24403872222707,80.94751385929032,1.620615221060445
CV,14,68,68,1.0,0,0.0,0.011918778092618728,0.0,104.42225968079057,92.52769835591172,1.9105678058741322
CV,15,59,59,1.0,0,0.0,0.0026180183120546887,0.0,120.06315107624158,104.06848706500926,2.3086846088110238
CV,16,50,50,1.0,0,0.0,0.0,0.0,137.52769702494967,118.931084591829,2.6861713259768996
CV,17,41,41,1.0,0,0.0,0.0,0.0,156.7446280245295,131.4201278343618,3.0957134622373847
CV,18,32,32,1.0,0,0.0,0.0,0.0,168.36591129894327,147.4454905302535,4.724037097264717
CV,19,25,25,1.0,0,0.0,0.0,0.0,191.98204967127003,164.5007598766644,6.708365683151812
CV,20,19,19,1.0,0,0.0,0.0,0.0,220.10891273639768,183.4972751841291,7.541695441934054
CV,21,13,13,1.0,0,0.0,0.0,0.0,221.05243343449376,195.5057543910153,8.42317668590904
CV,22,8,8,1.0,0,0.0,0.0,0.0,257.054053148595,217.37269273509804,9.138188611003333
