model,horizon,any_boundary,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
S_FIXED,18,0,23,23,1.0,0,0.0,0.09827843493294748,0.05867326398824291,40.59598714514364,39.77534313518105,0.9932288032816974
S_FIXED,18,1,9,9,1.0,0,0.0,0.22772666964768762,0.2759561294813928,64.14337833704599,72.63776843736352,0.7156544452187737
S_FIXED,19,0,17,17,1.0,0,0.0,0.07229545716398797,0.0,40.05427663006558,41.43953237217763,1.0698434112613964
S_FIXED,19,1,8,8,1.0,0,0.0,0.22939117711308768,0.2704037469525067,71.70284050373627,79.04809265773218,0.7366542953759802
S_FIXED,20,0,12,12,1.0,0,0.0,0.06427952694359772,0.0,39.89148651894504,42.813720154119004,1.2259414914228681
S_FIXED,20,1,7,7,1.0,0,0.0,0.18726935903423556,0.220645541540104,74.42075065830002,86.58991199661678,0.8156096958345327
S_FIXED,21,0,8,8,1.0,0,0.0,0.06963163515156254,0.0,39.5044160470574,44.47597353749998,1.3009240030129856
S_FIXED,21,1,5,5,1.0,0,0.0,0.1397655408291592,0.17126554678937647,78.58409759320963,93.8193338833697,1.0404429947322384
S_FIXED,22,0,5,5,1.0,0,0.0,0.07413012490287205,0.0,38.70437981024048,46.23393793490594,1.31565572085565
S_FIXED,22,1,3,3,1.0,0,0.0,0.10450081198471389,0.12826050234145278,92.82633448556346,101.73540655445937,1.1003293683943378
S_FIXED,23,0,2,2,1.0,0,0.0,0.08977476803318205,0.08977476803318205,32.38399847951372,32.38399847951372,2.0873457713327777
S_FIXED,23,1,2,2,1.0,0,0.0,0.031714880760745294,0.031714880760745294,91.34473949416238,91.34473949416238,1.273629150083154
S_RES_CV,1,0,204,204,1.0,204,1.0,0.9270832948248218,0.942856304788777,1.2328947951001483,1.0595468033701534,0.020011385351950087
S_RES_CV,1,1,23,23,1.0,23,1.0,0.8475190661119463,0.9222659621492205,11.269924359918798,7.897937805637897,0.18702602967414148
