model,horizon,target_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_FIXED,10,8-<16,43,43,1.0,31,0.7209302325581395,0.6536836496882864,0.7181077026236409,10.935881244538445,6.59190744134012,0.13356170045286664
A_FIXED,10,<4,7,7,1.0,4,0.5714285714285714,0.5408296332747718,0.5503749508435264,7.515362057740599,6.7605897627370215,0.4828992687669301
A_FIXED,11,16-32,29,29,1.0,29,1.0,0.80291912470387,0.8256198347107438,7.149235703479854,4.6585220094721915,0.04788892409411579
A_FIXED,11,4-<8,22,22,1.0,22,1.0,0.6601780278037922,0.6604250476944737,4.099172913221878,3.9601278940931284,0.20016821745420915
A_FIXED,11,8-<16,38,38,1.0,26,0.6842105263157895,0.63704654139778,0.6800570677445067,11.746079776376382,7.161096144916822,0.1444589139797981
A_FIXED,11,<4,7,7,1.0,4,0.5714285714285714,0.5449340242553539,0.5900906846008934,7.139173266525218,6.923396872384605,0.49452834802747175
A_FIXED,12,16-32,26,26,1.0,26,1.0,0.7922334195268278,0.8126921959447299,7.543723776629838,4.702195688067238,0.04336997038276253
A_FIXED,12,4-<8,19,19,1.0,19,1.0,0.6468566403287148,0.6458145033859515,4.320103174698343,4.051902589195291,0.213383287219578
A_FIXED,12,8-<16,34,34,1.0,24,0.7058823529411765,0.6168511925570729,0.6587707117196091,12.500387854565117,8.095562303399433,0.16521555721223333
A_FIXED,12,<4,7,7,1.0,4,0.5714285714285714,0.5669222997401696,0.6442864033541216,7.122950044704382,6.404543838604204,0.45746741704315746
A_FIXED,13,16-32,23,23,1.0,23,1.0,0.778896916843933,0.8,8.235812213899521,5.093167151427984,0.04588438875160346
A_FIXED,13,4-<8,17,17,1.0,16,0.9411764705882353,0.6254475493526911,0.6443190436250817,4.584003535652211,4.554235382016593,0.2207490883917338
A_FIXED,13,8-<16,30,30,1.0,20,0.6666666666666666,0.5985748761280605,0.6257151474843923,13.231454757612731,9.837347946256383,0.1838616996277352
A_FIXED,13,<4,7,7,1.0,4,0.5714285714285714,0.5777003757549143,0.5963190571661018,7.0711198595619384,5.523132170741194,0.39450944076722816
A_FIXED,14,16-32,20,20,1.0,20,1.0,0.769773060292337,0.796709812957441,8.613357077418128,5.3353657587899725,0.05092895455864445
A_FIXED,14,4-<8,15,15,1.0,14,0.9333333333333333,0.6094515031162451,0.6030100187712588,4.869454878092029,4.890576838847173,0.2358903667184075
A_FIXED,14,8-<16,26,26,1.0,16,0.6153846153846154,0.5784288053444633,0.5883490112973819,14.105705855032417,10.881102255151934,0.21282347634073034
A_FIXED,14,<4,7,7,1.0,5,0.7142857142857143,0.5724952241091812,0.539831503274918,6.7500991053035255,5.1962742292533175,0.37116244494666556
A_FIXED,15,16-32,17,17,1.0,17,1.0,0.7618180817083695,0.7740354206198609,9.130878991335972,5.974204520532604,0.05286906655338588
A_FIXED,15,4-<8,13,13,1.0,12,0.9230769230769231,0.5962292536304552,0.5819591599874707,5.162939749835934,5.000128723850058,0.24748441394716705
A_FIXED,15,8-<16,22,22,1.0,11,0.5,0.5585092359961984,0.5361598750008687,14.982096249877635,12.703904595420845,0.256684030344271
A_FIXED,15,<4,7,7,1.0,5,0.7142857142857143,0.6039229800275011,0.5439548433172495,6.642053708093061,5.100105695737487,0.3642932639812491
A_FIXED,16,16-32,14,14,1.0,14,1.0,0.7474885596280412,0.7570192688418333,10.422538455826471,9.721208063960827,0.08791125228431007
A_FIXED,16,4-<8,11,11,1.0,8,0.7272727272727273,0.5815416773538021,0.5501157549172015,5.38807362624189,5.544392808872183,0.25335121476812683
A_FIXED,16,8-<16,18,18,1.0,8,0.4444444444444444,0.5359684512764383,0.4798027775302571,15.86837688430176,14.012710918001819,0.2832329568256472
A_FIXED,16,<4,7,7,1.0,5,0.7142857142857143,0.6125612205743703,0.6248461741956883,6.470175707524779,4.457510367807569,0.29716735785383797
A_FIXED,17,16-32,11,11,1.0,11,1.0,0.7411984515869802,0.737666141143283,11.846447327608791,10.225619686504201,0.09500879069455455
