class,origin_frame,method,available_future,valid_prefix_frames,valid_prefix_s,failure_observed,right_censored
tank,0,hold,24,0,0.0,True,False
tank,1,hold,23,0,0.0,True,False
tank,1,velocity,23,1,0.3333333333333333,True,False
tank,2,hold,22,0,0.0,True,False
tank,2,velocity,22,6,2.0,True,False
tank,3,hold,21,0,0.0,True,False
tank,3,velocity,21,5,1.6666666666666667,True,False
tank,4,hold,20,0,0.0,True,False
tank,4,velocity,20,5,1.6666666666666667,True,False
tank,5,hold,19,0,0.0,True,False
tank,5,velocity,19,5,1.6666666666666667,True,False
tank,6,hold,18,0,0.0,True,False
tank,6,velocity,18,6,2.0,True,False
tank,7,hold,17,0,0.0,True,False
tank,7,velocity,17,5,1.6666666666666667,True,False
tank,8,hold,16,0,0.0,True,False
tank,8,velocity,16,5,1.6666666666666667,True,False
tank,9,hold,15,0,0.0,True,False
tank,9,velocity,15,5,1.6666666666666667,True,False
tank,10,hold,14,0,0.0,True,False
tank,10,velocity,14,5,1.6666666666666667,True,False
tank,11,hold,13,0,0.0,True,False
tank,11,velocity,13,5,1.6666666666666667,True,False
tank,12,hold,12,0,0.0,True,False
tank,12,velocity,12,5,1.6666666666666667,True,False
tank,13,hold,11,0,0.0,True,False
tank,13,velocity,11,4,1.3333333333333333,True,False
tank,14,hold,10,0,0.0,True,False
tank,14,velocity,10,5,1.6666666666666667,True,False
tank,15,hold,9,0,0.0,True,False
tank,15,velocity,9,5,1.6666666666666667,True,False
tank,16,hold,8,0,0.0,True,False
tank,16,velocity,8,5,1.6666666666666667,True,False
tank,17,hold,7,0,0.0,True,False
tank,17,velocity,7,4,1.3333333333333333,True,False
tank,18,hold,6,0,0.0,True,False
tank,18,velocity,6,5,1.6666666666666667,True,False
tank,19,hold,5,0,0.0,True,False
tank,19,velocity,5,4,1.3333333333333333,True,False
tank,20,hold,4,0,0.0,True,False
tank,20,velocity,4,4,1.3333333333333333,False,True
tank,21,hold,3,0,0.0,True,False
tank,21,velocity,3,3,1.0,False,True
tank,22,hold,2,0,0.0,True,False
tank,22,velocity,2,2,0.6666666666666666,False,True
tank,23,hold,1,0,0.0,True,False
tank,23,velocity,1,1,0.3333333333333333,False,True
