dataset,frame_index,record_present,sequence_id,request_frame,resolution_level,center_x,center_y,camera_decision_reason,camera_requested_level,camera_requested_center_x,camera_requested_center_y,camera_feedback_present,camera_feedback_reason,proposal_count,crops,rejected_as_background,rejection_fraction,mean_objectness,mean_margin,observation_count,observation_top_posterior_mean,bank_tracks,bank_matched,bank_created,bank_removed,confirmed_tracks,tentative_tracks,track_age_mean,track_age_max,track_identity_confidence_mean,track_posterior_gap_mean,output_candidates,output_emitted,output_dropped_invalid,output_distinct_classes,output_secondary_guesses,gmc_model,gmc_ok,gmc_reason,gmc_quality,gmc_inliers,gmc_candidates,gmc_inlier_ratio,gmc_translation_x,gmc_translation_y,gmc_translation_magnitude,total_latency_ms
hosted,49,True,c6ae6aa777ba4e949a81d31e46a5f55f,50,0,1920,1080,hold-current-view,,,,False,,5,5,0,0.0,0.9497,0.0202,5,0.23066,6,4,1,0,4,2,0.16666666666666666,1,0.12440000000000001,0.021583333333333326,18,18,0,9,12,affine,True,accepted,0.9966,294,295,0.9966,-14.41,52.49,54.43205121984657,116.8
hosted,50,True,c6ae6aa777ba4e949a81d31e46a5f55f,51,0,1920,1080,hold-current-view,,,,False,,3,3,0,0.0,0.8982,0.0159,3,0.21643333333333334,7,2,1,0,4,3,0.7142857142857143,2,0.12028571428571429,0.019428571428571424,21,21,0,9,14,affine,True,accepted,0.9932,294,296,0.9932,-14.19,52.29,54.181179389156895,111.57
hosted,51,True,c6ae6aa777ba4e949a81d31e46a5f55f,52,0,1920,1080,hold-current-view,,,,False,,2,2,0,0.0,0.9874,0.0291,2,0.27849999999999997,6,2,0,1,4,2,0.8333333333333334,2,0.13083333333333333,0.023433333333333334,18,18,0,8,12,affine,True,accepted,0.9826,282,287,0.9826,-14.28,52.51,54.41707912043791,109.18
hosted,52,True,c6ae6aa777ba4e949a81d31e46a5f55f,53,0,1920,1080,hold-current-view,,,,False,,2,2,0,0.0,0.9566,0.0151,2,0.22505,5,2,0,1,4,1,1.0,2,0.14243999999999998,0.02622000000000001,15,15,0,8,10,affine,True,accepted,0.9797,289,295,0.9797,-14.4,52.59,54.52584799890782,108.53
hosted,53,True,c6ae6aa777ba4e949a81d31e46a5f55f,54,0,1920,1080,hold-current-view,,,,False,,3,3,0,0.0,0.9833,0.0578,3,0.36600000000000005,4,2,1,2,3,1,0.25,1,0.17222500000000002,0.05180000000000001,12,12,0,6,8,affine,True,accepted,0.9933,296,298,0.9933,-14.47,52.59,54.5443764287392,111.74
hosted,54,True,c6ae6aa777ba4e949a81d31e46a5f55f,55,0,1920,1080,hold-current-view,,,,False,,2,2,0,0.0,0.8984,0.0288,2,0.19815,4,2,0,0,3,1,0.5,1,0.17167500000000002,0.05180000000000001,12,12,0,6,8,affine,True,accepted,0.9966,294,295,0.9966,-14.14,52.36,54.235681981514716,110.36
hosted,55,True,c6ae6aa777ba4e949a81d31e46a5f55f,56,0,1920,1080,hold-current-view,,,,False,,3,3,0,0.0,0.9862,0.0457,3,0.33180000000000004,5,2,1,0,3,2,0.6,2,0.16448000000000002,0.05016000000000002,14,14,0,8,9,affine,True,accepted,0.9832,292,297,0.9832,-14.35,52.66,54.58019879040383,111.41
hosted,56,True,c6ae6aa777ba4e949a81d31e46a5f55f,57,0,1920,1080,hold-current-view,,,,False,,3,3,0,0.0,0.9201,0.0279,3,0.23293333333333333,5,2,1,1,3,2,0.6,2,0.16594000000000003,0.052660000000000005,15,15,0,8,10,affine,True,accepted,0.9932,293,295,0.9932,-14.42,52.67,54.60828966374977,111.66
hosted,57,True,c6ae6aa777ba4e949a81d31e46a5f55f,58,0,1920,1080,hold-current-view,,,,False,,5,5,0,0.0,0.9467,0.0322,5,0.30613999999999997,7,3,2,0,4,3,0.2857142857142857,1,0.14578571428571427,0.03504285714285714,21,21,0,10,14,affine,True,accepted,0.9933,297,299,0.9933,-14.48,52.53,54.48918516549867,116.85
hosted,58,True,c6ae6aa777ba4e949a81d31e46a5f55f,59,0,1920,1080,hold-current-view,,,,False,,4,4,1,0.25,0.7857,0.0587,3,0.3483,7,3,0,0,5,2,0.7142857142857143,2,0.15807142857142858,0.04571428571428571,20,20,0,10,13,affine,True,accepted,0.9966,296,297,0.9966,-14.52,52.37,54.3456281590341,114.42
